Sport_Name,Cluster_2,PC1,PC2,PC3,PC4,Cluster_2_Label
soccer,0,0.12434965181892085,-0.5046978902658549,0.6376883181564641,-0.3664322768970654,Contact
basketball,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,Contact
archery,1,0.8582253976205009,0.9453667484619765,0.39174230916835634,-0.17517415645522286,Collision
soccer,1,0.032206034217846444,0.8496734003872463,-0.2969906298719264,-0.00013070941983285258,Collision
,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,Contact
baseball,0,0.2378273774381044,-0.6483598084053038,0.8058133369606805,0.5972677377513856,Contact
,0,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,Contact
golf,0,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,Contact
volleyball,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,Contact
baseball,1,0.38124726770346923,-0.03464837319110238,-0.5777355928656248,-0.12624692769293913,Collision
football,0,-0.22322731362119472,-0.5912359837443764,-0.048962117026769086,0.8164087064205663,Contact
,0,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,Contact
swim,0,-0.5722685471068175,0.2930857898339721,0.23178284596692925,0.9425249246936724,Contact
,0,-0.22322731362119472,-0.5912359837443764,-0.048962117026769086,0.8164087064205663,Contact
volleyball,1,0.38124726770346923,-0.03464837319110238,-0.5777355928656248,-0.12624692769293913,Collision
,1,0.032206034217846444,0.8496734003872463,-0.2969906298719264,-0.00013070941983285258,Collision
football,1,0.7462119400468243,0.11816879954455543,-0.7437781078127915,-0.08214940605914849,Collision
volleyball,1,0.7462119400468243,0.11816879954455543,-0.7437781078127915,-0.08214940605914849,Collision
baseball,0,-0.22469158166670192,0.3796238833124937,0.9184332811501624,-0.2403160586239592,Contact
soccer,0,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,Contact
soccer,0,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,Contact
,0,-0.685746272726001,0.43674770797342116,0.06365782716271283,-0.021175089954778566,Contact
tennis,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,Contact
volleyball,0,0.12434965181892085,-0.5046978902658549,0.6376883181564641,-0.3664322768970654,Contact
soccer,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,Contact
track,1,0.38124726770346923,-0.03464837319110238,-0.5777355928656248,-0.12624692769293913,Collision
volleyball,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,Contact
soccer,1,0.38124726770346923,-0.03464837319110238,-0.5777355928656248,-0.12624692769293913,Collision
swim,1,0.510648432180385,0.8588286549834548,-0.29490812601487676,1.0076668268624092,Collision
basketball,1,0.032206034217846444,0.8496734003872463,-0.2969906298719264,-0.00013070941983285258,Collision
baseball,1,0.7462119400468243,0.11816879954455543,-0.7437781078127915,-0.08214940605914849,Collision
soccer,0,-0.33670503924037826,-0.44757406560492735,-0.21708713583098552,-0.14729130822788483,Contact
,1,0.032206034217846444,0.8496734003872463,-0.2969906298719264,-0.00013070941983285258,Collision
